scene,exp,variant,op,encoder,psnr,ssim,lpips,score,n_images
hcm0034,exp011,unsharp_r2_p50+jpeg98,unsharp_r2_p50,jpeg98,20.4378,0.72141,0.14258,0.71267,60
hcm0034,exp011,unsharp_r2_p50+jpeg95_444,unsharp_r2_p50,jpeg95_444,20.4358,0.72112,0.1426,0.71256,60
hcm0034,exp011,unsharp_r2_p50+png,unsharp_r2_p50,png,20.4327,0.72114,0.14208,0.71276,60
hcm0034,exp011,unsharp_r2_p100+jpeg75,unsharp_r2_p100,jpeg75,19.1893,0.68347,0.16461,0.68312,60
hcm0034,exp011,unsharp_r2_p100+jpeg90,unsharp_r2_p100,jpeg90,19.1795,0.68431,0.16309,0.6839,60
hcm0034,exp011,unsharp_r2_p100+jpeg95,unsharp_r2_p100,jpeg95,19.1669,0.68402,0.16211,0.68411,60
hcm0034,exp011,unsharp_r2_p100+jpeg98,unsharp_r2_p100,jpeg98,19.1587,0.6835,0.16122,0.68425,60
hcm0034,exp011,unsharp_r2_p100+jpeg95_444,unsharp_r2_p100,jpeg95_444,19.1533,0.68314,0.16122,0.6841,60
hcm0034,exp011,unsharp_r2_p100+png,unsharp_r2_p100,png,19.1404,0.68275,0.16127,0.68387,60
hcm0034,exp011,bilateral_d5+jpeg75,bilateral_d5,jpeg75,21.4298,0.73282,0.16749,0.71358,60
hcm0034,exp011,bilateral_d5+jpeg90,bilateral_d5,jpeg90,21.455,0.7359,0.17859,0.71025,60
hcm0034,exp011,bilateral_d5+jpeg95,bilateral_d5,jpeg95,21.4572,0.7366,0.17826,0.7106,60
hcm0034,exp011,bilateral_d5+jpeg98,bilateral_d5,jpeg98,21.4612,0.73707,0.17829,0.71077,60
hcm0034,exp011,bilateral_d5+jpeg95_444,bilateral_d5,jpeg95_444,21.4592,0.73665,0.17675,0.71124,60
hcm0034,exp011,bilateral_d5+png,bilateral_d5,png,21.4685,0.73766,0.17972,0.71043,60
hcm0034,exp011,nlmeans_h3+jpeg75,nlmeans_h3,jpeg75,21.3693,0.72925,0.18004,0.70703,60
hcm0034,exp011,nlmeans_h3+jpeg90,nlmeans_h3,jpeg90,21.379,0.73175,0.18189,0.70711,60
hcm0034,exp011,nlmeans_h3+jpeg95,nlmeans_h3,jpeg95,21.3897,0.73281,0.18155,0.70765,60
hcm0034,exp011,nlmeans_h3+jpeg98,nlmeans_h3,jpeg98,21.3924,0.73304,0.17966,0.70849,60
hcm0034,exp011,nlmeans_h3+jpeg95_444,nlmeans_h3,jpeg95_444,21.3917,0.73267,0.17818,0.70897,60
hcm0034,exp011,nlmeans_h3+png,nlmeans_h3,png,21.3994,0.73339,0.17968,0.70864,60
HCM0181,exp011,identity+jpeg75,identity,jpeg75,20.2738,0.70014,0.15423,0.70041,60
HCM0181,exp011,identity+jpeg90,identity,jpeg90,20.2597,0.69934,0.1533,0.70043,60
HCM0181,exp011,identity+jpeg95,identity,jpeg95,20.2712,0.70008,0.15495,0.70008,60
HCM0181,exp011,identity+jpeg98,identity,jpeg98,20.2731,0.70022,0.15523,0.70002,60
HCM0181,exp011,identity+jpeg95_444,identity,jpeg95_444,20.2708,0.69997,0.15389,0.70047,60
HCM0181,exp011,identity+png,identity,png,20.2737,0.70018,0.15417,0.70044,60
HCM0181,exp011,unsharp_r1_p50+jpeg75,unsharp_r1_p50,jpeg75,19.8728,0.69499,0.14661,0.6989,60
HCM0181,exp011,unsharp_r1_p50+jpeg90,unsharp_r1_p50,jpeg90,19.7887,0.69127,0.13297,0.70261,60
HCM0181,exp011,unsharp_r1_p50+jpeg95,unsharp_r1_p50,jpeg95,19.8002,0.69177,0.13194,0.70326,60
HCM0181,exp011,unsharp_r1_p50+jpeg98,unsharp_r1_p50,jpeg98,19.7984,0.69164,0.13088,0.70363,60
