scene,file,psnr,ssim,lpips,score,gt_sharpness,gt_brightness,width,height
hcm0031,DJI_20241227155536_0104_V.JPG,21.815637330565934,0.6713501588564639,0.26554661989212036,0.6260802236834866,2597.0691211705707,122.82315546772068,1320,989
hcm0031,DJI_20241227155543_0111_V.JPG,21.31224826091946,0.6687193003921642,0.27886876463890076,0.6169417738276057,2697.9156984340543,121.7086458620584,1320,989
hcm0031,DJI_20241227155545_0113_V.JPG,20.58010492425259,0.6377388637519873,0.2953312397003174,0.5966697927909848,2345.6262998355814,123.3676800870178,1320,989
hcm0031,DJI_20241227155546_0114_V.JPG,20.245940294131685,0.6313531809099397,0.3062995374202728,0.5883617810696629,2416.1787908070437,124.09732129178539,1320,989
hcm0031,DJI_20241227155547_0115_V.JPG,21.007002800380672,0.6479671577063876,0.2938268780708313,0.6029014128858677,2376.4381115917145,124.43184652388393,1320,989
hcm0031,DJI_20241227155552_0120_V.JPG,22.081694029545503,0.6370617908534003,0.2693418860435486,0.6158719470158737,2254.5659955059195,123.39201366547171,1320,989
hcm0031,DJI_20241227155556_0124_V.JPG,21.733009458233052,0.6390210306742277,0.27503085136413574,0.6120920254060124,2264.5123259069187,125.55990440297822,1320,989
hcm0031,DJI_20241227155557_0125_V.JPG,21.68655234322474,0.6420190976643063,0.26940152049064636,0.6149644351623818,2418.4836433521864,121.02203174311364,1320,989
hcm0031,DJI_20241227155715_0174_V.JPG,21.925523200881365,0.7120011811532527,0.2211843729019165,0.6566797443904975,2666.051424715311,127.73252520145847,1320,989
hcm0031,DJI_20241227155730_0189_V.JPG,23.15254638538056,0.7280276490726504,0.2306487262248993,0.6650640825441188,2278.940977903059,125.13559993259184,1320,989
hcm0031,DJI_20241227155740_0199_V.JPG,21.765362315011345,0.7115809316719505,0.21718467772006989,0.6571925823036252,2245.570492491302,119.98271057388853,1320,989
hcm0031,DJI_20241227155741_0200_V.JPG,21.95586123180899,0.7070504322907228,0.21999600529670715,0.6558518949593879,2372.478511936262,120.54473297178049,1320,989
hcm0031,DJI_20241227155753_0204_V.JPG,21.478539854986288,0.7072558535262495,0.2524706721305847,0.6400597263355587,3102.0737213952266,125.09256059074058,1320,989
hcm0031,DJI_20241227155754_0205_V.JPG,21.885507637745455,0.7158028430148858,0.2491147369146347,0.6464080039650846,3223.367593304693,126.04629408340227,1320,989
hcm0031,DJI_20241227155809_0220_V.JPG,22.227175148188024,0.7037005649397146,0.24599038064479828,0.6460770681131232,3030.2973248359226,126.18104298801973,1320,989
hcm0031,DJI_20241227155810_0221_V.JPG,21.79792830277374,0.7082642081751948,0.24176256358623505,0.6465618068347069,3021.488268481421,126.03111039617612,1320,989
hcm0031,DJI_20241227155847_0234_V.JPG,22.590822922950707,0.6847882548640877,0.22903645038604736,0.6493668338425116,3198.4863804818096,120.93035818243098,1320,989
